Statistical profiling result from isolate-00000000003D7F50-v8.log, (15530 ticks, 908 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     27    0.2%    0.2%  RegExp: "[A-Z\\xC0-\\xD6\\xD8-\\xDE\\u0100\\u0102\\u0104\\u0106\\u0108\\u010A\\u010C\\u010E\\u0110\\u0112\\u0114\\u0116\\u0118\\u011A\\u011C\\u011E\\u0120\\u0122\\u0124\\u0126\\u0128\\u012A\\u012C\\u012E\\u0130\\u0132\\u0134\\u0136\\u0139\\u013B\\u013D\\u013F\\u0141\\u0143\\u0145\\u0147\\u014A\\u014C\\u014E\\u0150\\u0152\\u0154\\u0156\\u0158\\u015A\\u015C\\u015E\\u0160\\u0162\\u0164\\u0166\\u0168\\u016A\\u016C\\u016E\\u0170\\u0172\\u0174\\u0176\\u0178-\\u0179\\u017B\\u017D\\u0181-\\u0182\\u0184\\u0186-\\u0187\\u0189-\\u018B\\u018E-\\u0191\\u0193-\\u0194\\u0196-\\u0198\\u019C-\\u019D\\u019F-\\u01A0\\u01A2\\u01A4\\u01A6-\\u01A7\\u01A9\\u01AC\\u01AE-\\u01AF\\u01B1-\\u01B3\\u01B5\\u01B7-\\u01B8\\u01BC\\u01C4\\u01C7\\u01CA\\u01CD\\u01CF\\u01D1\\u01D3\\u01D5\\u01D7\\u01D9\\u01DB\\u01DE\\u01E0\\u01E2\\u01E4\\u01E6\\u01E8\\u01EA\\u01EC\\u01EE\\u01F1\\u01F4\\u01F6-\\u01F8\\u01FA\\u01FC\\u01FE\\u0200\\u0202\\u0204\\u0206\\u0208\\u020A\\u020C\\u020E\\u0210\\u0212\\u0214\\u0216\\u0218\\u021A\\u021C\\u021E\\u0220\\u0222\\u0224\\u0226\\u0228\\u022A\\u022C\\u022E\\u0230\\u0232\\u023A-\\u023B\\u023D-\\u023E\\u0241\\u0243-\\u0246\\u0248\\u024A\\u024C\\u024E\\u0370\\u0372\\u0376\\u037F\\u0386\\u0388-\\u038A\\u038C\\u038E-\\u038F\\u0391-\\u03A1\\u03A3-\\u03AB\\u03CF\\u03D2-\\u03D4\\u03D8\\u03DA\\u03DC\\u03DE\\u03E0\\u03E2\\u03E4\\u03E6\\u03E8\\u03EA\\u03EC\\u03EE\\u03F4\\u03F7\\u03F9-\\u03FA\\u03FD-\\u042F\\u0460\\u0462\\u0464\\u0466\\u0468\\u046A\\u046C\\u046E\\u0470\\u0472\\u0474\\u0476\\u0478\\u047A\\u047C\\u047E\\u0480\\u048A\\u048C\\u048E\\u0490\\u0492\\u0494\\u0496\\u0498\\u049A\\u049C\\u049E\\u04A0\\u04A2\\u04A4\\u04A6\\u04A8\\u04AA\\u04AC\\u04AE\\u04B0\\u04B2\\u04B4\\u04B6\\u04B8\\u04BA\\u04BC\\u04BE\\u04C0-\\u04C1\\u04C3\\u04C5\\u04C7\\u04C9\\u04CB\\u04CD\\u04D0\\u04D2\\u04D4\\u04D6\\u04D8\\u04DA\\u04DC\\u04DE\\u04E0\\u04E2\\u04E4\\u04E6\\u04E8\\u04EA\\u04EC\\u04EE\\u04F0\\u04F2\\u04F4\\u04F6\\u04F8\\u04FA\\u04FC\\u04FE\\u0500\\u0502\\u0504\\u0506\\u0508\\u050A\\u050C\\u050E\\u0510\\u0512\
     26    0.2%    0.2%  Handler: parse {31}
     25    0.2%    0.2%  RegExp: \\]|\\\\|[\\n\\r\\u2028\\u2029]
     23    0.1%    0.2%  RegExp: v
     23    0.1%    0.2%  RegExp: b
     22    0.1%    0.2%  Handler: parseInternal {46}
     21    0.1%    0.2%  LazyCompile: *<anonymous> C:\code\JS\pegs\lib\compiler\Parser.js:462:9
     21    0.1%    0.2%  Handler: parseInternal {23}
     19    0.1%    0.1%  RegExp: r
     19    0.1%    0.1%  Handler: parseInternal {39}
     19    0.1%    0.1%  Handler: parse {38}
     18    0.1%    0.1%  RegExp: x
     18    0.1%    0.1%  RegExp: f
     18    0.1%    0.1%  LazyCompile: *DefineIndexedProperty native array.js:48:31
     18    0.1%    0.1%  Handler: parse {11}
     17    0.1%    0.1%  RegExp: n
     17    0.1%    0.1%  RegExp: \\"
     17    0.1%    0.1%  LazyCompile: *substring native string.js:298:25
     17    0.1%    0.1%  Handler: parse {25}
     15    0.1%    0.1%  RegExp: [\\n\\r\\u2028\\u2029]
     15    0.1%    0.1%  Handler: parse {24}
     14    0.1%    0.1%  RegExp: \\t|\\x0B|\\f| |\\xA0|\\uFEFF|[ \\xA0\\u1680\\u2000-\\u200A\\u202F\\u205F\\u3000]
     13    0.1%    0.1%  Stub: CompareICStub {4}
     13    0.1%    0.1%  RegExp: [^]
     13    0.1%    0.1%  RegExp: [0-9]
     13    0.1%    0.1%  Handler: global
     12    0.1%    0.1%  RegExp: \\n|\\r\\n|\\r|\\u2028|\\u2029
     12    0.1%    0.1%  Handler: parse {7}
     12    0.1%    0.1%  Handler: parse {18}
     12    0.1%    0.1%  Handler: parse {17}
     12    0.1%    0.1%  Handler: parse {14}
     11    0.1%    0.1%  Stub: CompareICStub {3}
     11    0.1%    0.1%  RegExp: 0
     11    0.1%    0.1%  Handler: parseInternal {31}
     11    0.1%    0.1%  Handler: parseInternal {15}
     11    0.1%    0.1%  Handler: parse {32}
     10    0.1%    0.1%  Stub: ToLengthStub
     10    0.1%    0.1%  RegExp: t
     10    0.1%    0.1%  Handler: parseInternal {25}
     10    0.1%    0.1%  Handler: parse {40}
      9    0.1%    0.1%  LazyCompile: *DoJoin native array.js:129:16
      9    0.1%    0.1%  Handler: parseInternal {45}
      9    0.1%    0.1%  Handler: parseInternal {44}
      9    0.1%    0.1%  Handler: parseInternal {28}
      9    0.1%    0.1%  Handler: parse {33}
      9    0.1%    0.1%  Handler: parse {12}
      9    0.1%    0.1%  Handler: parse
      8    0.1%    0.1%  Stub: RecordWriteStub {1}
      8    0.1%    0.1%  RegExp: \\-
      8    0.1%    0.1%  Handler: parseInternal {42}
      8    0.1%    0.1%  Handler: parseInternal {40}
      8    0.1%    0.1%  Handler: parse {27}
      8    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline
      7    0.0%    0.1%  RegExp: \\/\\/
      7    0.0%    0.1%  LazyCompile: ~[Symbol.match] native regexp.js:430:29
      7    0.0%    0.1%  LazyCompile: *InnerArrayFilter native array.js:913:26
      7    0.0%    0.1%  Handler: parseInternal {38}
      7    0.0%    0.1%  Handler: parseInternal {30}
      7    0.0%    0.1%  Handler: parse {6}
      6    0.0%    0.0%  Stub: FastNewContextStub
      6    0.0%    0.0%  Stub: CompareICStub {5}
      6    0.0%    0.0%  Stub: CEntryStub {1}
      6    0.0%    0.0%  LazyCompile: *parseInt native v8natives.js:36:24
      6    0.0%    0.0%  LazyCompile: *Optional.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:232:49
      6    0.0%    0.0%  Handler: parseInternal {8}
      6    0.0%    0.0%  Handler: parseInternal {2}
      6    0.0%    0.0%  Handler: parseInternal {24}
      6    0.0%    0.0%  Handler: parseInternal {17}
      6    0.0%    0.0%  Handler: parse {41}
      6    0.0%    0.0%  Handler: parse {13}
      5    0.0%    0.0%  RegExp: \\/\\*
      5    0.0%    0.0%  Handler: parse {34}
      5    0.0%    0.0%  Handler: parse {26}
      4    0.0%    0.0%  Stub: CompareICStub {2}
