Statistical profiling result from isolate-00000000004A2560-v8.log, (29583 ticks, 2453 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.0%  Handler: parseInternal {6}
      6    0.0%    0.0%  Handler: parseInternal {1}
      6    0.0%    0.0%  Handler: parseInternal {13}
      6    0.0%    0.0%  Handler: parse {53}
      6    0.0%    0.0%  Handler: parse {47}
      6    0.0%    0.0%  Handler: parse {45}
      6    0.0%    0.0%  Handler: parse {3}
      6    0.0%    0.0%  Handler: parse {20}
      6    0.0%    0.0%  Handler: parse {14}
      6    0.0%    0.0%  Handler: parse
      5    0.0%    0.0%  RegExp: finally
      5    0.0%    0.0%  RegExp: \\[
      5    0.0%    0.0%  RegExp: \\$|&|!
      5    0.0%    0.0%  Handler: parseInternal {34}
      5    0.0%    0.0%  Handler: parseInternal {33}
      5    0.0%    0.0%  Handler: parseInternal {27}
      5    0.0%    0.0%  Handler: parseInternal {25}
      5    0.0%    0.0%  Handler: parseInternal {20}
      5    0.0%    0.0%  Handler: parseInternal {14}
      5    0.0%    0.0%  Handler: parse {38}
      5    0.0%    0.0%  Handler: parse {2}
      5    0.0%    0.0%  Handler: parse {24}
      5    0.0%    0.0%  Handler: parse {1}
      5    0.0%    0.0%  Handler: parse {16}
      5    0.0%    0.0%  Handler: parse {11}
      4    0.0%    0.0%  RegExp: else
      4    0.0%    0.0%  RegExp: _
      4    0.0%    0.0%  RegExp: \\"|\\\\|[\\n\\r\\u2028\\u2029]
