This performance isn't much better than before. It's with regular expressions running in place of standard terminal checks outside of debug mode.

Statistical profiling result from isolate-00000000004B26A0-v8.log, (30922 ticks, 2235 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.0%    0.0%  Handler: parse {14}
     11    0.0%    0.0%  Function: ~<anonymous> native harmony-regexp-exec.js:2:10
     10    0.0%    0.0%  Stub: CompareICStub {1}
     10    0.0%    0.0%  RegExp: \ua7b6
     10    0.0%    0.0%  RegExp: \ua760
     10    0.0%    0.0%  RegExp: \ua75e
     10    0.0%    0.0%  RegExp: \ua752
     10    0.0%    0.0%  RegExp: \ua73a
     10    0.0%    0.0%  RegExp: \ua658
     10    0.0%    0.0%  RegExp: \u2cb6
     10    0.0%    0.0%  RegExp: \u2cae
     10    0.0%    0.0%  RegExp: \u2c8a
     10    0.0%    0.0%  RegExp: \u2c84
     10    0.0%    0.0%  RegExp: \u1ed4
     10    0.0%    0.0%  RegExp: \u1ea4
     10    0.0%    0.0%  RegExp: \u1e5a
     10    0.0%    0.0%  RegExp: \u1e24
     10    0.0%    0.0%  RegExp: \u052c
     10    0.0%    0.0%  RegExp: \u052a
     10    0.0%    0.0%  RegExp: \u04f4
     10    0.0%    0.0%  RegExp: \u04f2
     10    0.0%    0.0%  RegExp: \u04da
     10    0.0%    0.0%  RegExp: \u0206
     10    0.0%    0.0%  RegExp: \u01e2
     10    0.0%    0.0%  RegExp: \u01d9
     10    0.0%    0.0%  RegExp: \u01d7
     10    0.0%    0.0%  RegExp: \u0164
     10    0.0%    0.0%  RegExp: \u012c
     10    0.0%    0.0%  RegExp: \u0124
     10    0.0%    0.0%  LazyCompile: *StringValue.parseInternal C:\code\JS\pegs\lib\runtime\Rules.js:291:52
     10    0.0%    0.0%  Handler: parseInternal
      9    0.0%    0.0%  Stub: RecordWriteStub {2}
      9    0.0%    0.0%  RegExp: \x0a
      9    0.0%    0.0%  RegExp: \ua779
      9    0.0%    0.0%  RegExp: \ua750
      9    0.0%    0.0%  RegExp: \ua736
      9    0.0%    0.0%  RegExp: \ua662
      9    0.0%    0.0%  RegExp: \u2ca8
      9    0.0%    0.0%  RegExp: \u2c92
      9    0.0%    0.0%  RegExp: \u2c86
      9    0.0%    0.0%  RegExp: \u2c67
